r_m,chord_m,twist_deg,airfoil,a,ap,Cl,Cd,dT,dQ
3.45,2.259,9.5,circle,0.0308548604938983,1.90532111182734e-07,0,0.361003641097528,142.55987485364,-0
5.45,2.338,9.5,circle,0.023431949837197,1.04477518596513e-07,0,0.362496468688074,172.313713482829,-0
7.45,2.339,9.5,circle,0.0199440362470051,7.53922179541086e-08,0,0.362515040186407,201.214699751137,-0
9.3,2.848,9.5,circle,0.0227616820871817,7.72023370835386e-08,0,0.371066016501974,285.848724309155,-0
11.625,3.708,9.5,DU 97-W-300,0.203513000529757,0.0486236822861983,1.2,0.0390416052516447,2604.57024164828,12329.9980188816
12.555,3.672,8.3,DU 97-W-300,0.215622356118116,0.0435787735341757,1.2,0.0378245526153669,2934.9964389545,13709.0161474595
13.95,3.418,7.3,DU 97-W-300,0.216693275207913,0.0356096419508332,1.2,0.0359918653642979,3272.8017048379,15345.2550080725
15.113,3.196,6.4,DU 97-W-300,0.214691683981366,0.0301904722846081,1.2,0.0351708917165908,3521.85434831621,16584.7529149568
16.275,3.002,5.6,DU 97-W-300,0.213377683601087,0.0259304883291353,1.2,0.034428869132039,3775.65475678583,17818.8315166586
17.438,2.833,4.9,DU 97-W-300,0.212789022910246,0.0225334696351286,1.2,0.033717549348433,4037.21532019424,19060.6435795033
18.6,2.687,4.3,DU 97-W-300,0.213001583756874,0.0198019416949707,1.2,0.0330030264376914,4309.24223901833,20320.4515572163
19.763,2.561,3.8,DU 97-W-300,0.214029019810078,0.0175794633694765,1.2,0.0322534903773412,4594.51062882746,21610.3634761424
20.925,2.452,3.3,DU 97-W-300,0.213667703835776,0.0156159026751053,1.19142042926097,0.0317289030595091,4858.3704732022,22796.6070018354
22.088,2.358,2.9,DU 97-W-300,0.209880604935908,0.0137700366431385,1.16598627440923,0.0312650396980953,5061.13453372558,23754.7245050596
23.25,2.276,2.6,DU 91-W2-250,0.205641461921936,0.0121812120939897,1.13672692688276,0.0307314131877781,5246.85823645112,24635.2621412082
24.413,2.203,2.3,DU 91-W2-250,0.202502889258281,0.0108633775966194,1.11093836163807,0.0302610861558728,5445.41480474928,25528.3888608207
25.575,2.138,2.1,DU 91-W2-250,0.198470976848671,0.00969370356347897,1.08060815133642,0.0297079294504536,5617.27882243842,26312.9710109059
26.738,2.078,1.8,DU 91-W2-250,0.197073381529589,0.00876679869938573,1.06128152356198,0.0293554540261078,5838.72817657989,27227.7990896239
27.9,2.018,1.6,DU 91-W2-250,0.193994122322006,0.00790580249835426,1.03762670277995,0.028924041826821,6016.0773903826,27983.7366708543
29.063,1.958,1.4,DU 91-W2-250,0.191126236984482,0.00715668921712996,1.01704648616869,0.0285487036836205,6190.11189526986,28707.8547733999
30.225,1.898,1.2,DU 91-W2-250,0.188457966384647,0.00650280287544959,0.999307943305215,0.0282251914549974,6359.96630065186,29397.1968449662
31.388,1.838,0.9,DU 91-W2-250,0.187990406514857,0.00597857262167772,0.992328313053104,0.0280978982632621,6580.14032508119,30230.1286524457
32.55,1.778,0.7,DU 91-W2-250,0.18571820430841,0.00547025441591892,0.979464862511037,0.0278632970570256,6742.41495306861,30852.3480673867
33.713,1.718,0.5,DU 91-W2-250,0.183655967353714,0.0050209104119709,0.968597101344747,0.0276650928605417,6898.09594670615,31428.3052103957
34.875,1.658,0.2,DU 93-W-210,0.183876233390869,0.00466443752639581,0.968049495461298,0.0276551057268112,7107.71230345941,32155.3798809194
36.038,1.598,0,DU 93-W-210,0.182365893880102,0.0043101017694363,0.960615057651644,0.0275195178398651,7247.51281547728,32619.4956031216
37.2,1.538,-0.2,DU 93-W-210,0.181254627486242,0.00399731280868704,0.954518509386251,0.0274083301323163,7374.81496781256,33001.9774783487
38.363,1.478,-0.5,DU 93-W-210,0.182749011120405,0.00375581661385435,0.958125865648381,0.02747412042145,7555.76086118182,33510.2591617671
39.525,1.418,-0.7,DU 93-W-210,0.18297623480873,0.00351487566322,0.953818112975892,0.0273955564335193,7651.10971098806,33667.3266319243
40.688,1.358,-0.9,DU 93-W-210,0.184361621753032,0.00330939176503885,0.94973681718421,0.0273211225238459,7723.21490589113,33653.7246217605
41.85,1.298,-1.2,DU 93-W-210,0.189631117381124,0.00316913751066336,0.954109247370958,0.0274008660881906,7837.54878403654,33637.7345359169
43.013,1.238,-1.6,DU 93-W-210,0.200107150240664,0.00309375567442029,0.965797387444842,0.027614032201826,7985.4378111683,33492.2592055307
44.175,1.178,-1.6,DU 96-W-180,0.206746117736686,0.00296541735830978,0.93898927030658,0.0271251107730852,7785.24342420146,31951.5640338709
45.57,1.106,-1.9,DU 96-W-180,0.236041250986263,0.00298989056757143,0.921612402680292,0.0268081947098247,7625.95156701319,29413.2890228341
46.5,1.067,-2,DU 96-W-180,0.27852794237721,0.00309078848932094,0.879780309309197,0.0260452688111974,7306.01244837855,25704.9763677894
47.07,1.028,-2.2,DU 96-W-180,0.335329197314553,0.00319374233209367,0.84267195591289,0.0253684935991536,6901.64958882622,21348.7973739022
47.256,0.995,-1.4,DU 96-W-180,0.323449501383467,0.00307303400265908,0.763302627798387,0.0239209706306511,6099.12432047997,18969.224022844
47.442,0.905,-0.6,DU 96-W-180,0.301330427733919,0.00291256468320785,0.693025354804403,0.022639266863728,5077.30482567129,16204.2998404416
47.628,0.748,0.2,DU 96-W-180,0.269867116805813,0.00270250780972939,0.630929849726855,0.0215067806505293,3851.57692217623,12831.052483792
47.814,0.501,1,DU 96-W-180,0.226634341734207,0.0024001875336149,0.579093483482971,0.0205613986934907,2387.17646436628,8476.49072036307
48,0.07,1.8,DU 96-W-180,0.645413906188003,0.00563537080313297,-0.0429591470341413,0.0107834808926376,-24.7504979804479,-329.453403528309
