U_ms,pitch_deg,Cp,Ct,P_W,lambda,ThrustN
11,0,0.358275710750473,0.555122857053971,1898411.94851718,7.08286343718426,267404.995930184
12,0,0.343441838749333,0.508399395952805,2362609.66214196,6.4926248174189,291448.990188873
13,2.703857421875,0.2858437276191,0.393480749102323,2500079.16383478,5.99319213915591,264731.262668673
14,5.38253784179688,0.228852029872666,0.300788162846935,2499964.90994084,5.56510698635906,234699.329787555
15,7.54241943359375,0.186074213572012,0.238093517666872,2500086.3345642,5.19409985393512,213267.720242852
16,9.42153930664062,0.153314123404146,0.192961578705648,2499983.53912428,4.86946861306418,196655.386232712
17,11.1228942871094,0.127817260421401,0.159265227913213,2499949.9033819,4.58302928288393,183237.284514883
18,12.6937866210938,0.107685859193092,0.13345216099233,2500179.72947323,4.32841654494594,172133.602451277
19,14.1647338867188,0.0915593233357046,0.113241712565929,2500105.95287847,4.10060514784352,162745.379535993
20,15.5555725097656,0.0784918609156476,0.0971496922872931,2499825.2450099,3.89557489045134,154702.188540102
21,16.8807983398438,0.0678143035224437,0.0841763077746185,2500196.98366774,3.71007132423937,147782.666616045
22,18.1503295898438,0.0589811150774879,0.0735600793619159,2500207.52711207,3.54143171859213,141736.788333936
23,19.3641662597656,0.0516089251177597,0.0648249789142313,2499789.03591485,3.38745642647943,136518.998345183
24,20.5268859863281,0.0454252151853439,0.0575988146052394,2499917.95274779,3.24631240870945,132078.1770113
25,21.649169921875,0.040191923946835,0.0515389668119993,2500079.72949933,3.11645991236107,128236.236092067
